"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","Item Response OID","Element OID","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status","CAT OID","Form Item OID"
"RaceUSACat","Race USA category","Common Data Element","1.0","The patient's self declared racial origination, independent of ethnic origination, using OMB approved categories.","The patient's self declared racial origination, independent of ethnic origination, using OMB approved categories.","Alphanumeric","","Multiple Pre-Defined Values Selected","","","American Indian or Alaska Native;Asian;Black or African-American;Native Hawaiian or Other Pacific Islander;Not Reported;Unknown;White","A person having origins in any of the original peoples of North, Central, or South America, and who maintains tribal affiliations or community attachment.;A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. (Note: Individuals from the Philippine Islands have been recorded as Pacific Islanders in previous data collection strategies.);A person having origins in any of the black racial groups of Africa. Terms such as �Haitian� or �Negro� can be used in addition to �Black or African American.�;A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.;Not provided or unavailable;Could not be determined or unsure;A person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",";;;;;;","","","","GENERAL:
Choose all that apply.  Response is obtained by report of the participant/subject or caretaker.  Collecting information on race may not be allowed in some countries for concerns related to discrimination. In other countries, however, these concerns are considered a reason for recording race in order to guarantee equal access to care. Investigators receiving funding from the US National Institutes of Health (NIH) are required to report the number of subjects enrolled on an annual basis using the racial categories listed.
-----
TBI:
Choose all that apply.
-----
FA:
Choose all those with which the participant/ subject identifies.
-----
NMD:
ï¿½Xï¿½ those with which you identify
-----
SMA:
ï¿½Xï¿½ those with which you identify
-----
MG:
X those with which  you identify
-----
EPILEPSY:
Choose all that apply. Response is obtained by report of the participant/subject or caretaker. Collecting information on race may not be allowed in some countries for concerns related to discrimination. In other countries, however, these concerns are considered a reason for recording race in order to guarantee equal access to care. Investigators receiving funding from the US National Institutes of Health (NIH) are required to report the number of subjects enrolled on an annual basis using the racial categories listed.
-----
STROKE:
Choose all those with which the participant/ subject identifies.  Race should be reported by the subject or caretaker.
-----
MS:
Choose all that apply.  Response is obtained by report of the participant/subject or caretaker.  Collecting information on race may not be allowed in some countries for concerns related to discrimination. In other countries, however, these concerns are considered a reason for recording race in order to guarantee equal access to care. Investigators receiving funding from the US National Institutes of Health (NIH) are required to report the number of subjects enrolled on an annual basis using the racial categories listed.
-----
HEADACHE:
Choose all those with which the participant/ subject identifies.
-----
TBI (TBIACUTE):
Choose all that apply.
-----
TBI (TBIMILD):
Choose all that apply.
-----
TBI (TBIMOD):
Choose all that apply.
-----
TBI (TBIEPID):
Choose all that apply.","STROKE:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm) Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) Jorde LB and Wooding SP. Genetic variation, classification and ï¿½raceï¿½. Nature Genetics. 2004;36(11):S28-S33. Bhopal R and Donaldson L. White, European, Western, Caucasian, or What? Inappropriate labeling in Research on Race, Ethnicity, and Health. Amer J of Publ Health. 1998;88:1303-1307.  NCI CDE Browser Public ID = 2192199
-----
MS:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm)   Jorde LB and Wooding SP. Genetic variation, classification and ï¿½raceï¿½. Nature Genetics. 2004;36(11):S28-S33. Bhopal R and Donaldson L. White, European, Western, Caucasian, or What? Inappropriate labeling in Research on Race, Ethnicity, and Health. Amer J of Publ Health. 1998;88:1303-1307.","EPILEPSY (F1100):
Race
-----
FA (F0919):
Race
-----
GENERAL (F0016):
Race
-----
HEADACHE (F1350):
Race Category
-----
MG (F1082):
Race
-----
MS (F1273):
Race
-----
NMD (F1031):
Race
-----
SMA (F1031):
Race
-----
STROKE (F1150):
Race
-----
TBI (F0300):
Race category
-----
TBI (F1534):
Race category
-----
TBI (F1535):
Race category
-----
TBI (F1536):
Race category
-----
TBI (F1537):
Race category","","EPILEPSY/FA/GENERAL/HEADACHE/STROKE
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm)
-----
MG/MS/NMD/SMA/TBI
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) Jorde LB and Wooding SP. Genetic variation, classification and ""race"". Nature Genetics. 2004;36(11):S28-S33. Bhopal R and Donaldson L. White, European, Western, Caucasian, or What? Inappropriate labeling in Research on Race, Ethnicity, and Health. Amer J of Publ Health. 1998;88:1303-1307.","Adult and Pediatric","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","","","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","","","","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Core","Core","Core","Core","Core","","Exploratory","Core","","","Core","Core","Core","Core","","","","Core","Core","Race USA category","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2016-01-26","2016-01-27","Published",,
"LasikTAKERISKScl","Willing to take risks","Unique Data Element","1.0","I am willing to take risks.","I am willing to take risks.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B07","I am willing to take risks.","","LASIK Quality of Life Collaboration Project: PRTKRISK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","m12apfUeX","","TAKERISK","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikBLURVSNScl","Blurred vision","Unique Data Element","1.0","Blurred vision?","Blurred vision?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have you experienced:","A80","During the last 7 days, how often have you experienced: Blurred vision?","","LASIK Quality of Life Collaboration Project: PRBLRVIS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q1FmSxUlQ","","BLURVSN","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSEEDBL1Typ","Double images last 7 days (A)","Unique Data Element","1.0","In the last 7 days, have you seen any double images?","In the last 7 days, have you seen any double images?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all","1;2;3;4","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image, such as the images shown below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A45A","In the last 7 days, have you seen any double images?","","LASIK Quality of Life Collaboration Project Pre Op: PRDOUBLE v1.0;LASIK Quality of Life Collaboration Project Post Op: PODOUBLE v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7JvO7oyem","","SEEDBL","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikVSNCLRYScl","Clear vision with correct","Unique Data Element","1.0","At this time, how clear is your vision using the correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all?","At this time, how clear is your vision using the correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Perfectly clear;Pretty clear;Somewhat clear;Not clear at all","1;2;3;4","","","","When you answer the question below, think about the vision correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all.","A04","At this time, how clear is your vision using the correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all?","","LASIK Quality of Life Collaboration Project Pre Op: PRCLRCOR v1.0;LASIK Quality of Life Collaboration Project Post Op: POCLRCOR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","71_67NRkQ","","VSN_CLRY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSPORTACTScl","Difficulty active sports","Unique Data Element","1.0","Because of your vision, how much difficulty do you have taking part in active sports or other activities that you enjoy (like hiking, swimming, aerobics, team sports, or jogging)?","Because of your vision, how much difficulty do you have taking part in active sports or other activities that you enjoy (like hiking, swimming, aerobics, team sports, or jogging)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do these activities because of vision;Never do these activities for other reasons","1;2;3;4;5;6","","","","","A19","Because of your vision, how much difficulty do you have taking part in active sports or other activities that you enjoy (like hiking, swimming, aerobics, team sports, or jogging)?","","LASIK Quality of Life Collaboration Project Pre Op: PRACTSPT v1.0;LASIK Quality of Life Collaboration Project Post Op: POACTSPT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7kSes4JeX","","SPORTACT","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDBLAWVCScl","Activity double vis corr","Unique Data Element","1.0","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image.","A50","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRDBCRAC v1.0;LASIK Quality of Life Collaboration Project Post Op: PODBCRAC v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7k6IdQGgm","","DBLA_WVC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"GenderTyp","Gender Type","Common Data Element","1.0","Self-reported gender of the participant/subject. Gender is the socially constructed identity of sex. Gender is equated with phenotypic sex. Gender may differ from the sex of an individual determined genetically.","Self-reported gender of the participant/subject. Gender is the socially constructed identity of sex.","Alphanumeric","","Single Pre-Defined Value Selected","","","Female;Male;Not reported;Unknown;Unspecified","Female;Male;Not Reported;Unknown;Undifferentiated/Indeterminant/Intersex","1;2;222;999;555","","","","GENERAL:
Choose one. Response is obtained by report of the participant/subject or caretaker.
-----
TBI:
Choose one
-----
PD:
Choose one. Response is obtained by report of the participant/subject or caretaker.
-----
PD:
Choose one. Response is obtained by report of the participant/subject or caretaker.
-----
SCI:
Choose one. Response is obtained by report of the participant/subject or caretaker.
-----
FA:
Choose one.
-----
ALS:
Choose one. Response is obtained by report of the participant/subject or caretaker.
-----
NMD:
Choose only one.   The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 requires that gender be collected by self-report.  Therefore if phenotypic sex is different than the self-reported gender, then that should be recorded and the self-reported gender should be the one reported to NIH.
-----
SMA:
Choose only one.   The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 requires that gender be collected by self-report.  Therefore if phenotypic sex is different than the self-reported gender, then that should be recorded and the self-reported gender should be the one reported to NIH.
-----
MG:
Choose one
-----
EPILEPSY:
Choose one. Response is obtained by report of the participant/subject or caretaker.
-----
STROKE:
This element should be collected along with the other elements of the Sophia Classification.
-----
STROKE:
Choose one based on participant/ subject report.
-----
HD:
Choose one
-----
HD:
Choose one
-----
MS:
Choose one. Response is obtained by report of the participant/subject or caretaker.
-----
HEADACHE:
Choose one.  Additionally, studies can add the following options for more specific choices: Male to Female transgender; Female to Male transgender.
-----
TBI (TBIACUTE):
Choose one
-----
TBI (TBIMILD):
Choose one
-----
TBI (TBIMOD):
Choose one
-----
TBI (TBIEPID):
Choose one","SCI:
SCI Variable: GENDER
-----
STROKE:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm).  NCI CDE Browser Public ID = 2200604
-----
STROKE:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm).  NCI CDE Browser Public ID = 2200604
-----
MS:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)","ALS (F0954):
Gender
-----
EPILEPSY (F1100):
Gender
-----
FA (F0919):
Gender
-----
GENERAL (F0016):
Gender
-----
HD (F1207):
Gender
-----
HD (F1237):
Gender
-----
HEADACHE (F1350):
Gender
-----
MG (F1082):
Gender
-----
MS (F1273):
Gender
-----
NMD (F1031):
Phenotypic sex
-----
PD (F0745):
Gender
-----
PD (F0753):
Gender
-----
SCI (F0818):
Gender
-----
SMA (F1031):
Phenotypic sex
-----
STROKE (F1150):
Gender
-----
STROKE (F1162):
Gender
-----
TBI (F0300):
Gender
-----
TBI (F1534):
Gender
-----
TBI (F1535):
Gender
-----
TBI (F1536):
Gender
-----
TBI (F1537):
Gender","","ALS/FA/GENERAL/HD/HEADACHE/MG/MS/NMD/PD/SMA
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)
-----
EPILEPSY/PD
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 - http://grants.nih.gov/grants/funding/women_min/women_min.htm 
-----
SCI:
DeVivo M, Biering-S?rensen F, Charlifue S, Noonan V, Post M, Stripling T, Wing P. International Spinal Cord Injury Core Data Set. Spinal Cord 2006 Sep;44(9):535-40. The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 - http://grants.nih.gov/grants/funding/women_min/women_min.htm
-----
STROKE:
Govaert P, Ramenghi L, Taal R, de Vries L, Deveber G. Diagnosis of perinatal stroke I: definitions, differential diagnosis and registration. Acta Paediatr. 2009 Oct;98(10):1556-67.
-----
STROKE:
No references available
-----
TBI:
The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 - http://grants.nih.gov/grants/funding/women_min/women_min.htm Prognostic value of demographic characteristics in traumatic brain injury: results from the IMPACT study. Mushkudiani et al J Neurotrauma 2007;24:329-37.  Do women fare worse: a meta-analysis of gender differences in traumatic brain injury outcome. Farace et al, J Neurosurg 2000;93:539-545.","Adult and Pediatric","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics;Assessments and Examinations.Other Clinical Data","Participant/Subject Characteristics.Demographics","Disease/Injury Related Events.Classification;Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics;Assessments and Examinations.Other Clinical Data","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","","","","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Core","Core","Core","Core","Core","Supplemental","Core","Core","Core","Supplemental","Core","Core","Core","Core","","","","Core","Core","Gender type","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2016-01-26","2016-01-27","Published",,
"LasikJUDGEDSTScl","Difficult judge distance","Unique Data Element","1.0","How much difficulty do you have judging distances, like walking down stairs or parking a car?","How much difficulty do you have judging distances, like walking down stairs or parking a car?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty","1;2;3;4","","","","","A27","How much difficulty do you have judging distances, like walking down stairs or parking a car?","","LASIK Quality of Life Collaboration Project Pre Op: PRDISTAN v1.0;LASIK Quality of Life Collaboration Project Post Op: PODISTAN v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mJlblFJx7","","JUDGEDST","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikKEEPBUSYScl","Important to keep busy","Unique Data Element","1.0","It's important for me to keep busy.","It's important for me to keep busy.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","A98","It's important for me to keep busy.","","LASIK Quality of Life Collaboration Project: PRKPBUSY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XkwIiM8l7","","KEEPBUSY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTBSNBCScl","Starburst best correction","Unique Data Element","1.0","When you use your best vision correction (glasses or contact lenses) do the starbursts you see:","When you use your best vision correction (glasses or contact lenses) do the starbursts you see:","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6;7","Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses","1;2;3;4;5;6;7","","","","The next few questions are about starbursts. By starbursts, we mean seeing rays of light coming out from lighted objects, such as in the car headlights in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A76","When you use your best vision correction (glasses or contact lenses) do the starbursts you see:","","LASIK Quality of Life Collaboration Project: PRCORSTR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","71fBAHze7","","STBSNBC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikRLYGDTHGScl","Rarely count on good","Unique Data Element","1.0","I rarely count on good things happening to me.","I rarely count on good things happening to me.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","B02","I rarely count on good things happening to me.","","LASIK Quality of Life Collaboration Project: PRNOGOOD v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mktG3zUgQ","","RLYGDTHG","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSTPWORRYScl","Not control worry","Unique Data Element","1.0","Over the last 2 weeks, how often have you been bothered by not being able to stop or control worrying?","Over the last 2 weeks, how often have you been bothered by not being able to stop or control worrying?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3","Not at all;Several days;More than half the days;Nearly every day","0;1;2;3","","","","","A90","Over the last 2 weeks, how often have you been bothered by not being able to stop or control worrying?","","LASIK Quality of Life Collaboration Project: PRCNTWRY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1Q9BGUem","","STPWORRY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHAPPYScl","Happy and content","Unique Data Element","1.0","I am happy and content.","I am happy and content.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B06","I am happy and content.","","LASIK Quality of Life Collaboration Project: PRHAPCNT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7Jy9af8e7","","HAPPY","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDEPRESSDScl","Feeling down","Unique Data Element","1.0","Over the last 2 weeks, how often have you been bothered by feeling down, depressed, or hopeless?","Over the last 2 weeks, how often have you been bothered by feeling down, depressed, or hopeless?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3","Not at all;Several days;More than half the days;Nearly every day","0;1;2;3","","","","","A88","Over the last 2 weeks, how often have you been bothered by feeling down, depressed, or hopeless?","","LASIK Quality of Life Collaboration Project: PRFEELDW v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","7y2fNGLlX","","DEPRESSED","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikDBLOWBVScl","Double vision 7 days corr","Unique Data Element","1.0","In the last 7 days, how often have you seen double images when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how often have you seen double images when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about double images, which some people call ""ghost"" or ""shadow"" images. By double images, we mean seeing a distorted or blurry visual image. ","A46","In the last 7 days, how often have you seen double images when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project Pre Op: PRDBLCOR v1.0;LASIK Quality of Life Collaboration Project Post Op: PODBLCOR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XySG4sJxX","","DBLOWBV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikCRTEOUSScl","Courteous","Unique Data Element","1.0","I am always courteous even to people who are disagreeable.","I am always courteous even to people who are disagreeable.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","Definitely true;Mostly true;Don't know;Mostly false;Definitely false","1;2;3;4;5","","","","Listed below is a statement about your relationships with others. How much is this statement TRUE or FALSE for you?","A91","I am always courteous even to people who are disagreeable.","","LASIK Quality of Life Collaboration Project: PRCOURTS v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Q1tZ8zIlX","","CRTEOUS","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikSLPWELLScl","Sleep well at night","Unique Data Element","1.0","I sleep well at night.","I sleep well at night.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4","Never;Sometimes;Often;Constantly","1;2;3;4","","","","Please select the answer you feel best applies to you.","B11","I sleep well at night.","","LASIK Quality of Life Collaboration Project: PRSLEEP v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Xkej1QIg7","","SLPWELL","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"AgeYrs","Age in years","Unique Data Element","1.0","Value for participant's subject age, calculated as elapsed time since the birth of the participant/subject in years. The subject's age is typically recorded to the nearest full year completed, e.g. 11 years and 6 months should be recorded as 11 years.","Value for participant's subject age recorded in years.","Numeric Values","","Free-Form Entry","0","150","","","","","","","The subject's age is typically recorded to the nearest full year completed, e.g. 11 years and 6 months should be recorded as 11 years. For subjects which are under 1 year old, use decimal points and use the following convention- record 1 month as 0.083 (1/12), 2 months as 0.166 (2/12), 3 months as 0.25 (3/12), 4 months as 0.333 (4/12), 5 months as 0.416 (5/12), 6 months as 0.5 (6/12), 7 months as 0.583 (7/12), 8 months as 0.666 (8/12), 9 months as 0.75 (9/12), 10 months as 0.833 (10/12), 11 months as 0.916 (11/12) and 12 months as 1 year.","","","","No references available","Adult and Pediatric","Participant/Subject Characteristics.Demographics","","Participant/Subject Characteristics.Demographics","","","","","","","","","","","","","","Supplemental","","","","","Supplemental","","","","","","","","","","","","","","","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2016-01-26","2016-01-27","Published",,
